danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,is_short_track,energy_x_danceability,acoustic_minus_energy,explicit_int,macro_classical,macro_electronic,macro_folk_country,macro_hiphop_rnb,macro_jazz_blues,macro_latin,macro_metal,macro_mood_other,macro_pop,macro_reggae,macro_rock,macro_world,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,ts_3,ts_4,ts_5,popularity,is_hit
0.689,0.917,-5.013,0,0.153,0.14,0.0,0.144,0.941,140.024,3.9214166666666666,0,0.631813,-0.777,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0
0.758,0.206,-14.68,1,0.0729,0.628,0.0,0.148,0.25,124.873,3.581,0,0.15614799999999998,0.42200000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33,0
0.679,0.836,-3.074,0,0.0274,0.0484,0.0,0.083,0.397,101.06,3.9784333333333333,0,0.567644,-0.7876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20,0
0.415,0.498,-5.022,1,0.0278,0.659,0.0,0.197,0.3,143.68,4.166433333333333,0,0.20667,0.16100000000000003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,54,0
0.663,0.796,-5.922,1,0.0384,0.038,7.54e-05,0.112,0.758,123.951,4.134433333333333,0,0.5277480000000001,-0.758,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21,0
0.424,0.319,-9.888,0,0.0636,0.114,0.0,0.273,0.158,136.623,4.3365,0,0.135256,-0.20500000000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,35,0
0.357,0.795,-5.909,1,0.0337,0.0134,0.00013,0.111,0.416,97.171,5.6371,0,0.283815,-0.7816000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,65,0
0.543,0.665,-8.295,1,0.0623,0.505,6.41e-06,0.144,0.495,81.97,5.4352,0,0.36109500000000005,-0.16000000000000003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,59,0
0.63,0.715,-6.385,1,0.0271,0.0265,0.0,0.245,0.765,134.986,3.5702166666666666,0,0.45044999999999996,-0.6885,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,51,0
0.534,0.763,-6.348,1,0.0304,0.00285,0.0,0.0655,0.634,109.971,4.790566666666667,0,0.407442,-0.76015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,47,0
