Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,popularity,is_hit
107379,0.648,0.755,0,-7.901,1,0.03,0.0139,0.000253,0.225,0.607,126.341,4,4.909766666666667,64,0
54546,0.667,0.415,1,-16.454,1,0.0415,0.00594,0.816,0.15,0.371,125.996,4,4.4441,13,0
95431,0.621,0.57,7,-12.822,1,0.0847,0.683,0.545,0.0944,0.762,97.185,4,3.0111,33,0
11519,0.508,0.596,4,-9.034,0,0.0334,0.439,9.84e-06,0.111,0.4,79.359,4,4.4091,67,0
107493,0.711,0.443,9,-12.866,1,0.067,0.0917,0.0444,0.0826,0.743,150.77,4,3.632216666666667,28,0
104873,0.669,0.884,9,-2.613,1,0.0402,0.00184,0.0,0.0676,0.963,128.018,4,2.8177666666666665,53,0
60365,0.45,0.63,7,-6.803,1,0.327,0.235,0.0,0.262,0.381,180.192,4,3.066666666666667,22,0
5282,0.47,0.426,2,-8.187,1,0.0304,0.5,0.0,0.0747,0.264,143.95,4,4.250216666666667,41,0
91261,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4,4.232,86,1
108287,0.46,0.346,2,-8.35,1,0.0464,0.808,0.0,0.168,0.36,101.055,4,3.0542166666666666,22,0
1916,0.56,0.644,11,-5.826,1,0.131,0.515,0.0,0.116,0.875,82.505,4,3.7511833333333335,16,0
58671,0.234,0.876,2,-8.494,1,0.0712,0.00489,0.773,0.427,0.262,99.823,4,4.504883333333333,50,0
50809,0.46,0.75,1,-7.315,0,0.0259,0.0254,7.22e-05,0.708,0.258,96.072,4,5.263833333333333,20,0
14635,0.901,0.526,1,-7.296,0,0.0362,0.302,0.0,0.054,0.706,109.946,4,2.2909,57,0
75898,0.457,0.573,5,-13.509,0,0.0292,0.906,0.86,0.175,0.65,147.283,4,5.62,20,0
47702,0.85,0.723,2,-8.789,1,0.171,0.00943,0.0818,0.101,0.55,90.961,4,3.486666666666667,61,0
5096,0.494,0.91,1,-6.016,0,0.0479,0.561,1.13e-06,0.107,0.507,90.447,4,1.5713833333333334,59,0
99556,0.698,0.385,3,-13.217,1,0.0763,0.636,0.00409,0.134,0.493,135.167,3,3.232083333333333,37,0
10014,0.577,0.729,11,-14.376,0,0.0319,0.0953,0.928,0.184,0.177,126.988,4,9.451766666666666,57,0
95513,0.523,0.91,9,-7.357,0,0.0377,0.167,0.000899,0.0855,0.924,108.047,4,5.296883333333334,32,0
62533,0.439,0.925,9,-5.373,1,0.0454,0.00113,0.0,0.352,0.612,147.097,4,3.316883333333333,38,0
80560,0.533,0.723,3,-4.301,0,0.0614,0.283,0.0,0.0678,0.591,97.848,4,4.565416666666667,59,0
73640,0.85,0.698,7,-6.727,1,0.0447,6.31e-05,0.00245,0.331,0.418,125.007,4,6.42725,19,0
4980,0.397,0.0496,3,-22.0,1,0.0344,0.981,0.922,0.109,0.174,131.946,4,4.8971,50,0
104892,0.632,0.814,11,-6.419,1,0.0383,0.0101,0.0,0.214,0.359,126.523,4,4.2271,28,0
33605,0.802,0.771,10,-6.179,0,0.246,0.0764,3.28e-06,0.0992,0.634,171.113,4,2.4736666666666665,52,0
27294,0.641,0.936,4,-3.209,0,0.115,0.00559,0.178,0.897,0.481,174.054,4,4.590883333333333,20,0
37319,0.627,0.63,8,-4.71,0,0.343,0.301,0.0,0.0536,0.834,113.207,5,3.7647,52,0
11229,0.491,0.801,4,-9.835,1,0.0361,0.27,0.0,0.0665,0.971,160.109,4,2.8991,67,0
39253,0.0898,0.232,9,-17.636,0,0.0451,0.743,0.943,0.104,0.0345,85.811,4,2.4342166666666665,29,0
113312,0.194,0.324,1,-12.412,1,0.0338,0.902,0.196,0.109,0.157,169.758,3,3.5621666666666667,53,0
105189,0.734,0.51,4,-12.776,1,0.219,0.629,0.81,0.134,0.539,82.973,4,2.1011166666666665,41,0
43515,0.722,0.711,1,-8.555,1,0.0575,0.171,0.00398,0.138,0.489,115.941,4,2.9504166666666665,45,0
7237,0.519,0.466,4,-13.787,1,0.0288,0.636,0.612,0.106,0.706,138.168,4,4.9689,27,0
109502,0.668,0.812,2,-9.026,1,0.0384,0.0373,0.847,0.101,0.0373,120.003,3,8.666666666666666,20,0
